Key,English

foodRawWildSteakAOO,Raw Wild Steak
foodRawWildSteakAOODesc,"Raw Wild Steak, ready for fry-up."
foodRawWildSteakAOOBundle,Raw Wild Steak Bundle
foodRawWildSteakAOOBundleDesc,A bundle of Raw Wild Steak wrapped tightly to prevent unwanted attention.
foodRawBaconAOO,Raw Bacon
foodRawBaconAOODesc,"Raw bacon, ready for fry-up."
foodRawBaconAOOBundle,Raw Bacon Bundle
foodRawBaconAOOBundleDesc,A bundle of Raw Bacon wrapped tightly to prevent unwanted attention.
foodRawChickenBreastAOO,Raw Chicken Breast
foodRawChickenBreastAOODesc,"Raw chicken breast ready for cooking."
foodRawChickenBreastAOOBundle,Raw Chicken Breast Bundle
foodRawChickenBreastAOOBundleDesc,A bundle of Raw Chicken Breast wrapped tightly to prevent unwanted attention.
foodRawChickenLegsandWingsAOO,Raw Chicken Legs and Wings
foodRawChickenLegsandWingsAOODesc,"Raw chicken legs and wings, ready for cooking."
foodRawChickenLegsandWingsAOOBundle,Raw Chicken Legs and Wings Bundle
foodRawChickenLegsandWingsAOOBundleDesc,A bundle of Raw Chicken Legs and Wings wrapped tightly to prevent unwanted attention.
foodRawGroundBeefAOO,Raw Ground Beef
foodRawGroundBeefAOODesc,"Raw ground beef, ready for cooking."
foodRawGroundBeefAOOBundle,Raw Ground Beef Bundle
foodRawGroundBeefAOOBundleDesc,A bundle of Raw Ground Beef wrapped tightly to prevent unwanted attention.
foodRawHamAOO,Raw Ham
foodRawHamAOODesc,"Raw ham, ready for cooking."
foodRawHamAOOBundle,Raw Ham Bundle
foodRawHamAOOBundleDesc,A bundle of Raw Ham wrapped tightly to prevent unwanted attention.
foodRawPorkLoinAOO,Raw Pork Loin
foodRawPorkLoinAOODesc,"Raw pork loin, ready for cooking."
foodRawPorkLoinAOOBundle,Raw Pork Loin Bundle
foodRawPorkLoinAOOBundleDesc,A bundle of Raw Pork Loin wrapped tightly to prevent unwanted attention.
foodRawPorkRibsAOO,Raw Pork Ribs
foodRawPorkRibsAOODesc,"Raw pork ribs, ready for cooking."
foodRawPorkRibsAOOBundle,Raw Pork Ribs Bundle
