Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
<include filename="Food/Localization_Food.txt"/>
<include filename="Entities/Animals/Localization_Animals.txt"/>
Oakbatterybank,blocks,Block,,,Oakraven Battery Bank 1,,,,,,,,,,,,,,
Oakbatterybank2,blocks,Block,,,Oakraven Battery Bank 2,,,,,,,,,,,,,,
OakbatterybankDesc,blocks,Block,,,Add charged Power Cells to the Oakraven Battery Bank to provide a release of energy for objects that require power.,,,,,,,,,,,,,,
ArramusSolarPower,blocks,Block,,,Oakraven Solar Power Array,,,,,,,,,,,,,,
ArramusSolarPowerDesc,blocks,Block,,,The Oakraven Solar Power Array requires Oakraven Solar Cells. It will produce energy for connected objects that require power.,,,,,,,,,,,,,,
ArramusTurretPower,blocks,Block,,,Oakraven Turret Solar Power Array,,,,,,,,,,,,,,
ArramusTurretPowerDesc,blocks,Block,,,The Oakraven Turret Solar Power Array requires Oakraven Solar Cells. It will produce energy for connected objects that require power.,,,,,,,,,,,,,,
OakGenerator,blocks,Block,,,Oakraven Generator 1,,,,,,,,,,,,,,
OakGeneratorDesc,blocks,Block,,,The Oakraven Generator 1 converts fuel into electrical energy to power connected objects. It can also recharge Oakraven Power Cells.,,,,,,,,,,,,,,
OakGenerator2,blocks,Block,,,Oakraven Generator 2,,,,,,,,,,,,,,
OakGenerator2Desc,blocks,Block,,,The Oakraven Generator 2 converts fuel into electrical energy to power connected objects. It can also recharge Oakraven Power Cells.,,,,,,,,,,,,,,
OakBlackBetty,blocks,Block,,,Oakraven Generator - Black Betty,,,,,,,,,,,,,,
OakBlackBettyDesc,blocks,Block,,,The Oakraven Generator - Black Betty converts fuel into electrical energy to power connected objects. It can also recharge Oakraven Power Cells.,,,,,,,,,,,,,,
WorkbenchPowerCell,blocks,Block,,,Oakraven Power Workbench,,,,,,,,,,,,,,
